injuried,prev_player_age,prev_player_height,prev_player_weight,prev_games_appearences,prev_games_lineups,prev_games_minutes,prev_games_position,prev_games_rating,prev_substitutes_in,prev_substitutes_out,prev_substitutes_bench,prev_shots_total,prev_shots_on,prev_goals_total,prev_goals_conceded,prev_goals_assists,prev_goals_saves,prev_passes_total,prev_passes_key,prev_passes_accuracy,prev_tackles_total,prev_tackles_blocks,prev_tackles_interceptions,prev_duels_total,prev_duels_won,prev_dribbles_attempts,prev_dribbles_success,prev_fouls_drawn,prev_fouls_committed,prev_cards_yellow,prev_cards_yellowred,prev_cards_red,prev_penalty_scored,prev_penalty_missed,prev_penalty_saved,player_minutes_avg_5,player_rating_avg_5,player_shots_total_5,player_shots_on_5,player_goals_5,player_assists_5,player_fouls_committed_5,player_fouls_drawn_5,player_yellow_cards_5,player_red_cards_5,player_duels_total_5,player_duels_won_5,player_passes_total_5,player_passes_key_5,player_tackles_total_5,player_tackles_blocks_5,player_tackles_interceptions_5,player_duels_win_ratio_5,player_pass_acc_mean_5,team_shots_on_goal_5,team_shots_off_goal_5,team_total_shots_5,team_fouls_5,team_corners_5,team_offsides_5,team_ball_poss_avg_5,team_yellow_cards_5,team_red_cards_5,team_passes_5,team_passes_acc_5,team_pass_acc_ratio_5,opp_shots_on_goal_5,opp_shots_off_goal_5,opp_total_shots_5,opp_fouls_5,opp_corners_5,opp_offsides_5,opp_ball_poss_avg_5,opp_yellow_cards_5,opp_red_cards_5,opp_passes_5,opp_passes_acc_5,opp_pass_acc_ratio_5,days_since_last_injury,inj_count_last_6m,team_vs_opp_shots_diff_5,team_vs_opp_sog_diff_5,team_vs_opp_fouls_diff_5,team_vs_opp_corners_diff_5,team_vs_opp_offsides_diff_5,team_vs_opp_poss_diff_5,team_vs_opp_pass_acc_diff_5,team_vs_opp_shots_ratio_5,team_vs_opp_sog_ratio_5,team_vs_opp_fouls_ratio_5,team_vs_opp_corners_ratio_5,team_vs_opp_offsides_ratio_5,team_vs_opp_poss_ratio_5,team_vs_opp_pass_acc_ratio_5,player_id
0,33.0,182.0,70.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1859
0,33.0,182.0,70.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,69.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1859
0,27.0,187.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1868
0,30.0,181.0,73.0,30.0,26.0,2218.0,3,6.9,4.0,14.0,9.0,5.0,3.0,0.0,0.0,0.0,,108.0,,,0.0,0.0,6.0,36.0,15.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,8.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1870
0,30.0,181.0,73.0,30.0,26.0,2218.0,3,6.9,4.0,14.0,9.0,5.0,3.0,0.0,0.0,0.0,,108.0,,,0.0,0.0,6.0,36.0,15.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1870
0,27.0,185.0,81.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1872
0,27.0,185.0,81.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,86.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1872
0,29.0,183.0,81.0,1.0,0.0,3.0,1,,1.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,8.0,14.0,14.0,8.0,1.0,50.0,1.0,0.0,426.0,339.0,0.795774647887324,12.0,1,-14.0,-2.0,-14.0,-8.0,-1.0,,,0.0,0.0,0.0,0.0,0.0,,,1811
0,29.0,183.0,81.0,1.0,0.0,3.0,1,,1.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,90.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,64.0,0.0,1.0,1.0,2.0,0.6666666666666666,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,11.0,16.0,39.0,28.0,13.0,7.0,44.333333333333336,11.0,2.0,1067.0,804.0,0.753514526710403,6.0,3,-39.0,-11.0,-28.0,-13.0,-7.0,,,0.0,0.0,0.0,0.0,0.0,,,1811
0,29.0,183.0,81.0,1.0,0.0,3.0,1,,1.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,90.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,64.0,0.0,1.0,1.0,2.0,0.6666666666666666,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,42.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1811
0,29.0,183.0,81.0,1.0,0.0,3.0,1,,1.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1811
0,28.0,190.0,75.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1875
0,28.0,190.0,75.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,126.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1875
0,28.0,190.0,75.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,63.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1875
0,32.0,176.0,70.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,65.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1851
0,32.0,176.0,70.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1851
0,32.0,176.0,70.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,109.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1851
0,34.0,184.0,77.0,32.0,31.0,2678.0,3,,1.0,16.0,0.0,,,10.0,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1880
